,attack
271,4
272,4
273,4
274,4
275,0
276,0
277,4
278,4
279,4
280,0
281,4
282,4
283,0
284,4
285,0
286,0
287,4
288,1
289,4
290,0
291,0
292,4
293,4
294,4
295,4
296,1
297,4
298,0
299,4
300,0
301,0
302,2
303,4
304,1
305,4
306,4
307,1
308,4
309,0
310,4
311,0
312,0
313,4
314,0
315,1
316,1
317,4
318,0
319,4
320,0
321,0
322,0
323,4
324,0
325,4
326,4
327,4
328,4
329,1
330,1
331,4
332,4
333,0
334,4
335,4
336,4
337,0
338,0
339,4
340,0
341,4
342,4
343,0
344,4
345,0
346,4
347,0
348,1
349,1
350,4
351,0
352,4
353,1
354,4
355,0
356,4
357,0
358,4
359,4
360,4
361,0
362,4
363,4
364,1
365,0
366,4
367,0
368,0
369,4
370,4
371,4
372,0
373,4
374,0
375,4
376,4
377,4
378,0
379,4
380,0
381,4
382,0
383,0
384,4
385,0
386,4
387,4
388,4
389,4
390,4
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,4
399,4
400,0
401,4
402,4
403,1
404,4
405,4
406,4
407,0
408,0
409,4
410,0
411,4
412,4
413,0
414,4
415,4
416,0
417,0
418,0
419,4
420,0
421,0
422,1
423,0
424,4
425,0
426,4
427,4
428,1
429,4
430,0
431,0
432,4
433,4
434,4
435,4
436,4
437,4
438,4
439,0
440,4
441,0
442,0
443,4
444,4
445,0
446,0
447,0
448,4
449,4
450,4
451,0
452,0
453,0
454,4
455,0
456,4
457,0
458,0
459,4
460,4
461,0
462,4
463,4
464,0
465,0
466,0
467,4
468,4
469,0
470,4
471,0
472,4
473,0
474,4
475,4
476,0
477,1
478,4
479,0
480,0
481,0
482,4
483,1
484,4
485,4
486,1
487,0
488,4
489,0
490,4
491,4
492,4
493,4
494,0
495,4
496,4
497,4
498,4
499,4
500,4
501,0
502,4
503,4
504,4
505,2
506,1
507,4
508,1
509,4
510,4
511,4
512,4
513,4
514,4
515,0
516,0
517,4
518,4
519,0
520,4
521,0
522,4
523,4
524,4
525,0
526,4
527,1
528,0
529,1
530,0
531,0
532,4
533,0
534,4
535,0
536,4
537,0
538,4
539,0
540,0
541,4
542,4
543,4
544,4
545,4
546,0
547,4
548,0
549,2
550,1
551,4
552,0
553,4
554,4
555,1
556,0
557,0
558,0
559,4
560,0
561,4
562,4
563,0
564,0
565,4
566,0
567,0
568,4
569,1
570,0
571,0
572,0
573,4
574,4
575,4
576,0
577,4
578,4
579,4
580,2
581,0
582,4
583,4
584,4
585,1
586,4
587,4
588,0
589,4
590,1
591,0
592,4
593,4
594,0
595,4
596,0
597,4
598,0
599,0
600,4
601,0
602,1
603,4
604,1
605,0
606,0
607,4
608,0
609,4
610,0
611,4
612,4
613,4
614,0
615,1
616,4
617,4
618,0
619,4
620,1
621,1
622,4
623,0
624,0
625,0
626,0
627,4
628,0
629,4
630,1
631,4
632,4
633,0
634,4
635,4
636,4
637,0
638,4
639,0
640,4
641,4
642,1
643,4
644,0
645,0
646,0
647,0
648,4
649,1
650,4
651,1
652,4
653,4
654,4
655,4
656,4
657,4
658,0
659,4
660,1
661,1
662,4
663,4
664,0
665,0
666,0
667,4
668,4
669,4
670,0
671,4
672,0
673,0
674,4
675,4
676,4
677,0
678,0
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,0
687,0
688,2
689,4
690,4
691,4
692,0
693,4
694,1
695,0
696,4
697,4
698,4
699,4
700,4
701,4
702,0
703,4
704,0
705,0
706,4
707,0
708,1
709,0
710,4
711,0
712,0
713,4
714,0
715,4
716,2
717,0
718,4
719,4
720,4
721,4
722,4
723,0
724,0
725,4
726,4
727,4
728,4
729,4
730,4
731,0
732,0
733,4
734,4
735,4
736,0
737,0
738,4
739,0
740,0
741,0
742,4
743,0
744,4
745,4
746,4
747,0
748,4
749,0
750,0
751,4
752,0
753,0
754,0
755,1
756,0
757,0
758,1
759,0
760,0
761,4
762,0
763,4
764,0
765,0
766,4
767,2
768,0
769,0
770,0
771,4
772,4
773,4
774,0
775,1
776,2
777,1
778,4
779,0
780,1
781,4
782,4
783,4
784,1
785,4
786,0
787,0
788,4
789,0
790,4
791,0
792,0
793,0
794,0
795,0
796,4
797,0
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,0
806,1
807,0
808,4
809,0
810,4
811,0
812,4
813,4
814,0
815,4
816,4
817,4
818,0
819,4
820,4
821,4
822,1
823,0
824,4
825,0
826,4
827,4
828,1
829,4
830,4
831,1
832,4
833,0
834,4
835,0
836,4
837,0
838,4
839,4
840,4
841,1
842,4
843,0
844,4
845,0
846,0
847,4
848,0
849,4
850,1
851,0
852,0
853,4
854,0
855,0
856,4
857,0
858,0
859,0
860,4
861,4
862,0
863,0
864,4
865,4
866,4
867,4
868,4
869,0
870,0
871,4
872,0
873,1
874,0
875,0
876,0
877,0
878,4
879,4
880,0
881,0
882,0
883,1
884,4
885,4
886,1
887,4
888,4
889,4
890,1
891,4
892,0
893,0
894,4
895,0
896,1
897,1
898,0
899,1
900,4
901,1
902,4
903,4
904,0
905,4
906,0
907,4
908,1
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,0
917,4
918,0
919,1
920,4
921,4
922,0
923,4
924,0
925,4
926,0
927,0
928,0
929,0
930,0
931,4
932,4
933,0
934,4
935,4
936,4
937,4
938,4
939,0
940,0
941,4
942,4
943,4
944,4
945,0
946,0
947,0
948,0
949,4
950,0
951,4
952,4
953,4
954,4
955,0
956,4
957,0
958,0
959,4
960,4
961,4
962,1
963,4
964,0
965,0
966,0
967,4
968,4
969,4
970,4
971,4
972,0
973,4
974,0
975,4
976,4
977,4
978,4
979,4
980,4
981,4
982,4
983,0
984,4
985,0
986,4
987,1
988,0
989,4
990,0
991,1
992,0
993,0
994,4
995,4
996,0
997,0
998,4
999,0
1000,4
1001,4
1002,0
1003,0
1004,4
1005,4
1006,0
1007,4
1008,0
1009,0
1010,4
1011,0
1012,0
1013,4
1014,0
1015,1
1016,4
1017,0
1018,0
1019,1
1020,2
1021,1
1022,1
1023,0
1024,4
1025,4
1026,0
1027,4
1028,0
1029,4
1030,4
1031,0
1032,4
1033,0
1034,4
1035,0
1036,4
1037,1
1038,1
1039,4
1040,0
1041,0
1042,4
1043,4
1044,0
1045,4
1046,4
1047,4
1048,0
1049,4
1050,0
1051,0
1052,4
1053,0
1054,0
1055,4
1056,1
1057,4
1058,0
1059,2
1060,4
1061,0
1062,4
1063,4
1064,0
1065,4
1066,0
1067,4
1068,4
1069,0
1070,0
1071,1
1072,0
1073,4
1074,1
1075,4
1076,4
1077,0
1078,4
1079,1
1080,4
1081,4
1082,0
1083,4
1084,1
1085,4
1086,4
1087,0
1088,0
1089,4
1090,1
1091,4
1092,0
1093,0
1094,1
1095,4
1096,4
1097,4
1098,4
1099,0
1100,4
1101,4
1102,4
1103,4
1104,0
1105,1
1106,4
1107,4
1108,4
1109,4
1110,0
1111,4
1112,0
1113,4
1114,0
1115,4
1116,0
1117,0
1118,4
1119,4
1120,4
1121,0
1122,2
1123,4
1124,1
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,0
1132,4
1133,4
1134,0
1135,0
1136,1
1137,4
1138,0
1139,1
1140,1
1141,0
1142,0
1143,1
1144,4
1145,0
1146,4
1147,0
1148,0
1149,0
1150,0
1151,4
1152,4
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
1160,4
1161,0
1162,0
1163,0
1164,1
1165,0
1166,4
1167,0
1168,1
1169,0
1170,0
1171,4
1172,4
1173,1
1174,4
1175,4
1176,0
1177,4
1178,4
1179,0
1180,4
1181,0
1182,0
1183,0
1184,0
1185,4
1186,4
1187,4
1188,4
1189,0
1190,0
1191,4
1192,4
1193,4
1194,0
1195,4
1196,4
1197,1
1198,4
1199,4
1200,0
1201,0
1202,1
1203,4
1204,4
1205,4
1206,1
1207,4
1208,0
1209,4
1210,0
1211,4
1212,0
1213,4
1214,0
1215,0
1216,4
1217,4
1218,4
1219,0
1220,1
1221,4
1222,0
1223,0
1224,0
1225,4
1226,0
1227,1
1228,4
1229,4
1230,4
1231,1
1232,4
1233,0
1234,1
1235,0
1236,4
1237,0
1238,4
1239,4
1240,4
1241,4
1242,4
1243,4
1244,0
1245,4
1246,4
1247,4
1248,4
1249,0
1250,4
1251,4
1252,4
1253,0
1254,4
1255,4
1256,0
1257,0
1258,0
1259,4
1260,4
1261,0
1262,0
1263,0
1264,4
1265,0
1266,0
1267,4
1268,0
1269,4
1270,0
1271,0
1272,0
1273,4
1274,1
1275,4
1276,2
1277,0
1278,0
1279,1
1280,1
1281,4
1282,1
1283,4
1284,1
1285,0
1286,4
1287,4
1288,0
1289,4
1290,0
1291,4
1292,0
1293,4
1294,0
1295,4
1296,4
1297,0
1298,4
1299,4
1300,0
1301,1
1302,0
1303,1
1304,4
1305,0
1306,4
1307,0
1308,0
1309,4
1310,4
1311,0
1312,0
1313,4
1314,4
1315,4
1316,4
1317,1
1318,4
1319,0
1320,0
1321,0
1322,4
1323,0
1324,0
1325,1
1326,0
1327,4
1328,0
1329,0
1330,4
1331,0
1332,4
1333,4
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,4
1342,0
1343,0
1344,4
1345,4
1346,1
1347,0
1348,4
1349,4
1350,4
1351,1
1352,1
1353,0
1354,0
1355,4
1356,1
1357,0
1358,2
1359,4
1360,0
1361,0
1362,0
1363,4
1364,4
1365,4
1366,0
1367,0
1368,4
1369,1
1370,4
1371,4
1372,1
1373,4
1374,4
1375,0
1376,4
1377,4
1378,0
1379,0
1380,1
1381,0
1382,4
1383,4
1384,0
1385,0
1386,0
1387,1
1388,4
1389,0
1390,1
1391,4
1392,4
1393,0
1394,1
1395,0
1396,4
1397,1
1398,4
1399,4
1400,4
1401,4
1402,4
1403,1
1404,1
1405,0
1406,4
1407,2
1408,4
1409,1
1410,0
1411,0
1412,4
1413,4
1414,0
1415,0
1416,4
1417,0
1418,1
1419,0
1420,4
1421,4
1422,4
1423,0
1424,0
1425,0
1426,0
1427,4
1428,4
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,0
1437,4
1438,0
1439,4
1440,0
1441,0
1442,0
1443,0
1444,0
1445,1
1446,4
1447,0
1448,4
1449,0
1450,4
1451,4
1452,0
1453,4
1454,4
1455,4
1456,1
1457,0
1458,4
1459,4
1460,0
1461,4
1462,4
1463,0
1464,0
1465,4
1466,4
1467,0
1468,4
1469,0
1470,0
1471,0
1472,4
1473,0
1474,0
1475,0
1476,4
1477,4
1478,4
1479,4
1480,0
1481,0
1482,4
1483,0
1484,4
1485,0
1486,0
1487,4
1488,0
1489,4
1490,4
1491,4
1492,4
1493,1
1494,0
1495,4
1496,0
1497,0
1498,0
1499,4
1500,4
1501,4
1502,4
1503,4
1504,4
1505,4
1506,4
1507,4
1508,0
1509,4
1510,4
1511,0
1512,4
1513,0
1514,4
1515,4
1516,1
1517,4
1518,4
1519,4
1520,0
1521,4
1522,0
1523,0
1524,0
1525,4
1526,4
1527,4
1528,4
1529,0
1530,4
1531,4
1532,0
1533,0
1534,0
1535,4
1536,0
1537,0
1538,4
1539,0
1540,4
1541,1
1542,0
1543,0
1544,4
1545,0
1546,0
1547,0
1548,0
1549,4
1550,4
1551,1
1552,4
1553,4
1554,0
1555,4
1556,4
1557,4
1558,4
1559,0
1560,4
1561,4
1562,0
1563,4
1564,0
1565,4
1566,0
1567,4
1568,4
1569,4
1570,4
1571,1
1572,4
1573,4
1574,4
1575,0
1576,4
1577,4
1578,1
1579,4
1580,0
1581,0
1582,4
1583,4
1584,4
1585,4
1586,0
1587,0
1588,4
1589,4
1590,4
1591,0
1592,4
1593,4
1594,0
1595,4
1596,4
1597,0
1598,0
1599,4
1600,0
1601,0
1602,0
1603,4
1604,0
1605,0
1606,0
1607,4
1608,4
1609,4
1610,1
1611,0
1612,0
1613,4
1614,4
1615,0
1616,4
1617,0
1618,1
1619,0
1620,0
1621,0
1622,4
1623,1
1624,0
1625,0
1626,4
1627,4
1628,4
1629,4
1630,4
1631,4
1632,1
1633,4
1634,4
1635,4
1636,0
1637,0
1638,0
1639,4
1640,0
1641,4
1642,4
1643,4
1644,1
1645,0
1646,4
1647,4
1648,1
1649,1
1650,4
1651,4
1652,4
1653,4
1654,4
1655,0
1656,4
1657,4
1658,1
1659,0
1660,4
1661,4
1662,0
1663,0
1664,1
1665,4
1666,4
1667,4
1668,4
1669,4
1670,4
1671,0
1672,4
1673,4
1674,4
1675,0
1676,0
1677,0
1678,4
1679,4
1680,4
1681,0
1682,4
1683,4
1684,4
1685,4
1686,0
1687,0
1688,0
1689,4
1690,4
1691,4
1692,1
1693,0
1694,4
1695,4
1696,4
1697,4
1698,4
1699,4
1700,1
1701,4
1702,4
1703,0
1704,4
1705,4
1706,4
1707,4
1708,4
1709,4
1710,0
1711,4
1712,0
1713,4
1714,4
1715,0
1716,2
1717,1
1718,4
1719,0
1720,4
1721,0
1722,4
1723,0
1724,4
1725,0
1726,0
1727,4
1728,4
1729,4
1730,4
1731,4
1732,4
1733,0
1734,4
1735,4
1736,4
1737,0
1738,0
1739,1
1740,1
1741,4
1742,4
1743,2
1744,0
1745,4
1746,4
1747,0
1748,0
1749,0
1750,4
1751,4
1752,4
1753,4
1754,0
1755,4
1756,4
1757,4
1758,4
1759,4
1760,4
1761,0
1762,0
1763,0
1764,4
1765,4
1766,0
1767,0
1768,4
1769,0
1770,0
1771,0
1772,4
1773,4
1774,4
1775,4
1776,1
1777,0
1778,0
1779,4
1780,0
1781,0
1782,0
1783,0
1784,4
1785,4
1786,0
1787,4
1788,1
1789,1
1790,0
1791,4
1792,4
1793,4
1794,1
1795,4
1796,4
1797,1
1798,4
1799,1
1800,1
1801,0
1802,4
1803,4
1804,4
1805,4
1806,4
1807,1
1808,4
1809,0
1810,4
1811,4
1812,0
1813,1
1814,0
1815,1
1816,4
1817,0
1818,0
1819,4
1820,4
1821,4
1822,4
1823,0
1824,1
1825,1
1826,4
1827,4
1828,4
1829,4
1830,4
1831,2
1832,0
1833,4
1834,0
1835,0
1836,4
1837,4
1838,0
1839,4
1840,4
1841,4
1842,0
1843,0
1844,0
1845,0
1846,4
1847,4
1848,0
1849,4
1850,4
1851,4
1852,0
1853,0
1854,0
1855,4
1856,4
1857,4
1858,4
1859,0
1860,0
1861,1
1862,0
1863,1
1864,0
1865,4
1866,0
1867,0
1868,4
1869,4
1870,4
1871,0
1872,0
1873,4
1874,4
1875,0
1876,0
1877,0
1878,4
1879,4
1880,4
1881,4
1882,4
1883,4
1884,4
1885,0
1886,1
1887,0
1888,1
1889,1
1890,1
1891,4
1892,0
1893,4
1894,0
1895,4
1896,0
1897,4
1898,4
1899,4
1900,4
1901,0
1902,0
1903,0
1904,4
1905,4
1906,4
1907,4
1908,0
1909,4
1910,4
1911,4
1912,4
1913,4
1914,4
1915,2
1916,4
1917,4
1918,0
1919,4
1920,4
1921,0
1922,4
1923,1
1924,4
1925,4
1926,4
1927,0
1928,0
1929,4
1930,1
1931,4
1932,0
1933,4
1934,0
1935,0
1936,0
1937,0
1938,0
1939,4
1940,4
1941,0
1942,0
1943,4
1944,4
1945,4
1946,4
1947,4
1948,0
1949,4
1950,0
1951,4
1952,4
1953,4
1954,4
1955,0
1956,0
1957,4
1958,4
1959,0
1960,4
1961,4
1962,0
1963,0
1964,4
1965,4
1966,0
1967,4
1968,4
1969,4
1970,4
1971,4
1972,0
1973,0
1974,4
1975,4
1976,4
1977,0
1978,4
1979,0
1980,4
1981,0
1982,4
1983,0
1984,4
1985,4
1986,4
1987,4
1988,4
1989,4
1990,0
1991,0
1992,4
1993,4
1994,4
1995,1
1996,4
1997,4
1998,0
1999,4
2000,4
2001,0
2002,0
2003,1
2004,0
2005,4
2006,0
2007,4
2008,0
2009,4
2010,4
2011,0
2012,0
2013,4
2014,4
2015,0
2016,4
2017,4
2018,0
2019,4
2020,0
2021,0
2022,4
2023,4
2024,0
2025,0
2026,4
2027,4
2028,1
2029,4
2030,4
2031,1
2032,0
2033,4
2034,4
2035,4
2036,4
2037,4
2038,0
2039,4
2040,0
2041,4
2042,4
2043,4
2044,0
2045,4
2046,4
2047,4
2048,4
2049,4
2050,0
2051,0
2052,0
2053,4
2054,4
2055,4
2056,4
2057,4
2058,4
2059,4
2060,0
2061,4
2062,0
2063,4
2064,4
2065,0
2066,4
2067,4
2068,4
2069,0
2070,4
2071,4
2072,4
2073,4
2074,4
2075,0
2076,4
2077,4
2078,0
2079,4
2080,0
2081,1
2082,4
2083,4
2084,1
2085,0
2086,0
2087,0
2088,4
2089,0
2090,0
2091,4
2092,0
2093,4
2094,4
2095,4
2096,0
2097,4
2098,0
2099,4
2100,4
2101,4
2102,4
2103,4
2104,4
2105,4
2106,0
2107,4
2108,0
2109,4
2110,4
2111,4
2112,4
2113,4
2114,1
2115,1
2116,4
2117,0
2118,1
2119,4
2120,4
2121,4
2122,0
2123,0
2124,4
2125,0
2126,0
2127,4
2128,4
2129,4
2130,4
2131,4
2132,4
2133,4
2134,0
2135,1
2136,4
2137,4
2138,0
2139,0
2140,0
2141,0
2142,2
2143,4
2144,4
2145,4
2146,4
2147,4
2148,4
2149,4
2150,4
2151,4
2152,1
2153,4
2154,4
2155,0
2156,4
2157,1
2158,4
2159,4
2160,4
2161,1
2162,0
2163,0
2164,0
2165,4
2166,0
2167,0
2168,4
2169,4
2170,4
2171,0
2172,4
2173,0
2174,0
2175,0
2176,4
2177,0
2178,0
2179,4
2180,0
2181,4
2182,4
2183,4
2184,0
2185,4
2186,0
2187,4
2188,4
2189,4
2190,0
2191,4
2192,0
2193,4
2194,0
2195,1
2196,0
2197,4
2198,1
2199,4
2200,0
2201,0
2202,0
2203,4
2204,4
2205,4
2206,4
2207,4
2208,0
2209,4
2210,0
2211,4
2212,4
2213,4
2214,4
2215,0
2216,4
2217,0
2218,4
2219,4
2220,4
2221,0
2222,4
2223,4
2224,4
2225,4
2226,0
2227,0
2228,0
2229,1
2230,4
2231,4
2232,0
2233,1
2234,4
2235,4
2236,4
2237,4
2238,4
2239,0
2240,4
2241,1
2242,2
2243,0
2244,0
2245,4
2246,0
2247,4
2248,0
2249,4
2250,0
2251,0
2252,0
2253,0
2254,1
2255,1
2256,4
2257,0
2258,0
2259,0
2260,4
2261,0
2262,0
2263,4
2264,0
2265,0
2266,4
2267,1
2268,4
2269,4
2270,4
2271,1
2272,1
2273,1
2274,4
2275,0
2276,0
2277,4
2278,4
2279,1
2280,4
2281,0
2282,4
2283,4
2284,4
2285,0
2286,0
2287,0
2288,4
2289,4
2290,4
2291,0
2292,0
2293,2
2294,4
2295,1
2296,4
2297,0
2298,0
2299,4
2300,4
2301,0
2302,1
2303,4
2304,0
2305,4
2306,4
2307,4
2308,4
2309,4
2310,4
2311,4
2312,4
2313,0
2314,0
2315,4
2316,0
2317,0
2318,4
2319,0
2320,4
2321,4
2322,4
2323,0
2324,0
2325,0
2326,0
2327,4
2328,4
2329,0
2330,0
2331,4
2332,0
2333,0
2334,0
2335,0
2336,0
2337,1
2338,4
2339,4
2340,1
2341,0
2342,0
2343,4
2344,4
2345,4
2346,4
2347,0
2348,4
2349,1
2350,0
2351,0
2352,1
2353,0
2354,0
2355,0
2356,4
2357,0
2358,0
2359,4
2360,4
2361,0
2362,4
2363,0
2364,4
2365,4
2366,4
2367,0
2368,4
2369,0
2370,0
2371,4
2372,4
2373,1
2374,0
2375,4
2376,0
2377,0
2378,4
2379,0
2380,0
2381,4
2382,0
2383,4
2384,1
2385,4
2386,4
2387,4
2388,0
2389,0
2390,0
2391,4
2392,0
2393,4
2394,4
2395,4
2396,4
2397,0
2398,0
2399,0
2400,4
2401,1
2402,0
2403,0
2404,1
2405,4
2406,4
2407,0
2408,1
2409,4
2410,0
2411,4
2412,0
2413,0
2414,4
2415,1
2416,4
2417,4
2418,0
2419,4
2420,1
2421,0
2422,4
2423,4
2424,4
2425,4
2426,0
2427,4
2428,4
2429,0
2430,4
2431,0
2432,0
2433,0
2434,1
2435,4
2436,4
2437,4
2438,4
2439,4
2440,0
2441,0
2442,1
2443,4
2444,1
2445,4
2446,0
2447,4
2448,4
2449,4
2450,4
2451,4
2452,4
2453,0
2454,0
2455,4
2456,4
2457,4
2458,1
2459,4
2460,4
2461,4
2462,4
2463,0
2464,0
2465,4
2466,4
2467,4
2468,0
2469,0
2470,4
2471,0
2472,0
2473,1
2474,4
2475,1
2476,4
2477,4
2478,4
2479,0
2480,0
2481,0
2482,4
2483,1
2484,4
2485,4
2486,0
2487,4
2488,0
2489,0
2490,4
2491,4
2492,4
2493,4
2494,0
2495,4
2496,0
2497,0
2498,0
2499,4
2500,4
2501,4
2502,4
2503,0
2504,4
2505,4
2506,1
2507,4
2508,4
2509,0
2510,4
2511,4
2512,0
2513,0
2514,0
2515,0
2516,4
2517,4
2518,4
2519,4
2520,1
2521,4
2522,0
2523,0
2524,0
2525,4
2526,0
2527,0
2528,0
2529,4
2530,4
2531,0
2532,4
2533,0
2534,0
2535,4
2536,0
2537,4
2538,1
2539,4
2540,4
2541,0
2542,0
2543,0
2544,2
2545,0
2546,4
2547,0
2548,0
2549,4
2550,4
2551,0
2552,4
2553,0
2554,1
2555,0
2556,0
2557,0
2558,4
2559,1
2560,4
2561,1
2562,4
2563,4
2564,4
2565,4
2566,0
2567,0
2568,0
2569,1
2570,0
2571,0
2572,4
2573,4
2574,0
2575,4
2576,4
2577,4
2578,1
2579,4
2580,4
2581,0
2582,0
2583,4
2584,0
2585,0
2586,1
2587,0
2588,4
2589,4
2590,4
2591,4
2592,0
2593,4
2594,0
2595,4
2596,4
2597,4
2598,1
2599,4
2600,0
2601,4
2602,0
2603,4
2604,4
2605,0
2606,4
2607,0
2608,4
2609,4
2610,4
2611,4
2612,4
2613,4
2614,4
2615,4
2616,4
2617,0
2618,4
2619,1
2620,4
2621,0
2622,4
2623,0
2624,0
2625,4
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,4
2634,4
2635,1
2636,4
2637,0
2638,4
2639,0
2640,4
2641,4
2642,4
2643,4
2644,0
2645,0
2646,0
2647,0
2648,4
2649,4
2650,4
2651,4
2652,4
2653,1
2654,0
2655,4
2656,4
2657,0
2658,4
2659,0
2660,4
2661,0
2662,0
2663,0
2664,4
2665,4
2666,1
2667,4
2668,0
2669,0
2670,4
2671,0
2672,4
2673,4
2674,0
2675,0
2676,0
2677,4
2678,4
2679,4
2680,0
2681,0
2682,0
2683,0
2684,4
2685,4
2686,4
2687,4
2688,4
2689,0
2690,0
2691,4
2692,4
2693,4
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,4
2701,0
2702,4
2703,0
2704,0
2705,4
2706,4
2707,4
2708,4
2709,0
2710,0
2711,1
2712,1
2713,4
2714,4
2715,4
2716,4
2717,4
2718,0
2719,4
2720,4
2721,4
2722,0
2723,4
2724,4
2725,4
2726,4
2727,1
2728,0
2729,4
2730,4
2731,4
2732,0
2733,1
2734,1
2735,0
2736,0
2737,0
2738,4
2739,4
2740,4
2741,4
2742,1
2743,4
2744,0
2745,1
2746,4
2747,4
2748,4
2749,4
2750,1
2751,4
2752,4
2753,0
2754,0
2755,0
2756,4
2757,4
2758,4
2759,0
2760,0
2761,0
2762,0
2763,1
2764,4
2765,1
2766,4
2767,0
2768,0
2769,4
2770,0
2771,4
2772,0
2773,4
2774,4
2775,4
2776,4
2777,0
2778,0
2779,4
2780,4
2781,4
2782,0
2783,4
2784,4
2785,0
2786,1
2787,0
2788,4
2789,0
2790,4
2791,0
2792,4
2793,0
2794,1
2795,0
2796,0
2797,2
2798,4
2799,0
2800,4
2801,4
2802,0
2803,4
2804,0
2805,4
2806,4
2807,0
2808,0
2809,0
2810,4
2811,0
2812,4
2813,4
2814,4
2815,4
2816,4
2817,4
2818,1
2819,4
2820,4
2821,4
2822,4
2823,4
2824,4
2825,2
2826,0
2827,4
2828,4
2829,0
2830,0
2831,4
2832,0
2833,4
2834,1
2835,0
2836,4
2837,4
2838,0
2839,4
2840,4
2841,4
2842,1
2843,4
2844,4
2845,0
2846,0
2847,4
2848,0
2849,4
2850,0
2851,0
2852,4
2853,0
2854,0
2855,4
2856,4
2857,4
2858,0
2859,4
2860,0
2861,0
2862,0
2863,4
2864,4
2865,4
2866,0
2867,4
2868,4
2869,4
2870,0
2871,0
2872,4
2873,0
2874,0
2875,0
2876,4
2877,4
2878,0
2879,0
2880,4
2881,4
2882,0
2883,0
2884,4
2885,0
2886,4
2887,4
2888,1
2889,4
2890,4
2891,1
2892,0
2893,1
2894,4
2895,4
2896,4
2897,0
2898,4
2899,0
2900,1
2901,4
2902,4
2903,1
2904,4
2905,4
2906,0
2907,4
2908,0
2909,4
2910,1
2911,4
2912,4
2913,0
2914,4
2915,4
2916,0
2917,4
2918,4
2919,0
2920,4
2921,4
2922,4
2923,4
2924,4
2925,0
2926,4
2927,0
2928,0
2929,4
2930,4
2931,4
2932,4
2933,0
2934,0
2935,4
2936,0
2937,1
2938,4
2939,0
2940,1
2941,0
2942,4
2943,4
2944,1
2945,0
2946,1
2947,1
2948,0
2949,4
2950,4
2951,4
2952,4
2953,4
2954,4
2955,4
2956,0
2957,4
2958,0
2959,4
2960,4
2961,0
2962,0
2963,4
2964,4
2965,0
2966,0
2967,1
2968,1
2969,4
2970,1
2971,1
2972,4
2973,4
2974,0
2975,0
2976,4
2977,1
2978,0
2979,4
2980,4
2981,0
2982,0
2983,4
2984,4
2985,4
2986,0
2987,4
2988,4
2989,0
2990,4
2991,4
2992,4
2993,4
2994,4
2995,0
2996,1
2997,0
